species,mKLw,ShaPosS,MoisPosS,Ballon,Ballon1,Niche,web,web1
Aloacc,9,0.31,0.74,yes,1,0.2,no,-1
Alopul,9.25,0.29,0.42,yes,1,0.27,no,-1
Antele,3.4,0.27,0.23,no,-1,0.24,yes,1
Arahum,3.45,0.61,0.56,no,-1,0.22,yes,1
Arcleo,9.25,0.14,0.28,no,-1,0.15,no,-1
Arcmar,12.5,NA,NA,no,-1,NA,no,-1
Arcper,7,0.2,0.39,yes,1,0.15,no,-1
Batapp,2.75,0.35,0.17,yes,1,0.21,yes,1
Batgra,2.2,0.31,0.28,yes,1,0.27,yes,1
Batnig,2.75,0.54,0.28,yes,1,0.22,yes,1
Bolalt,3.75,0.47,0.46,no,-1,0.3,yes,1
Brilat,3,NA,NA,yes,1,NA,yes,1
Cerbre,1.9,0.49,0.35,no,-1,0.28,no,-1
Cerpro,6.25,0.34,0.38,no,-1,0.2,yes,1
Clufri,6,NA,NA,no,-1,NA,no,-1
Clulut,7,0.43,0.26,no,-1,0.21,no,-1
Cluphr,9.5,0.28,0.11,no,-1,0.2,no,-1
Clurec,6.5,0.28,0.27,no,-1,0.2,no,-1
Clusub,7,0.69,0.34,no,-1,0.12,no,-1
Cryrip,3.5,NA,NA,no,-1,NA,yes,1
Dicunc,3.05,0.28,0.28,yes,1,0.21,yes,1
Dicnig,2.2,0.3,0.31,yes,1,0.24,yes,1
Dictib,2.35,0.61,0.32,no,-1,0.22,yes,1
Dipcri,2.1,0.24,0.33,yes,1,0.25,yes,1
Diplat,1.75,0.53,0.32,no,-1,0.25,yes,1
Dipcon,2.75,0.41,0.32,yes,1,0.29,yes,1
Disbif,2.3,0.28,0.35,yes,1,0.19,yes,1
Dralut,6.25,0.2,0.29,yes,1,0.16,no,-1
Drapus,4.75,0.21,0.5,yes,1,0.25,no,-1
Dyshun,7.5,NA,NA,no,-1,NA,no,-1
Epiang,5,0.4,0.34,no,-1,0.2,yes,1
Eriden,2.3,0.23,0.31,yes,1,0.25,yes,1
Evaarc,7.3,0.27,0.54,no,-1,0.26,no,-1
Gnaden,2.6,0.21,0.17,yes,1,0.21,yes,1
Gonmur,1.9,0.22,0.2,yes,1,0.19,yes,1
Gonruf,3.4,0.44,0.21,no,-1,0.18,yes,1
Hahnav,1.75,0.23,0.56,no,-1,0.26,yes,1
Hahpus,1.4,0.44,0.45,no,-1,0.3,yes,1
Hapmin,3.75,NA,NA,no,-1,NA,no,-1
Helaur,4.25,0.1,0.18,no,-1,NA,no,-1
Hylnig,2.75,NA,NA,no,-1,NA,yes,1
Hypbit,2.75,0.18,0.12,yes,1,0.25,yes,1
Hypher,5.25,NA,NA,no,-1,NA,yes,1
Leprob,3.9,0.28,0.22,yes,1,0.31,yes,1
Liostr,4.75,0.25,0.38,no,-1,0.24,no,-1
Manaca,5.75,0.3,0.62,yes,1,0.32,yes,1
Massun,1.65,0.49,0.37,no,-1,0.24,yes,1
Metasc,NA,NA,NA,no,-1,NA,yes,1
Micful,5.5,0.28,0.75,yes,1,0.22,no,-1
Micpul,3.6,0.22,0.36,yes,1,0.2,no,-1
Microm,6.25,NA,NA,yes,1,NA,no,-1
Micsub,1.65,NA,NA,no,-1,NA,yes,1
Micvia,2.25,0.58,0.36,yes,1,0.25,yes,1
Mistri,5.8,0.36,0.38,yes,1,0.1,no,-1
Nemsan,2.25,NA,NA,no,-1,NA,yes,1
Neoret,2.15,0.64,0.4,no,-1,0.17,no,-1
Neobim,2.6,0.26,0.37,yes,1,0.15,yes,1
Nercla,4.25,0.5,0.31,yes,1,0.22,yes,1
Nermon,8.25,0.58,0.27,no,-1,0.14,yes,1
Nescel,4.75,0.58,0.24,yes,1,0.08,yes,1
Oedagr,2.85,0.43,0.29,yes,1,0.19,no,-1
Oedapi,3,0.19,0.28,yes,1,0.21,no,-1
Oedfus,2.55,0.2,0.22,yes,1,0.2,no,-1
Oedret,2.85,0.25,0.18,yes,1,0.24,no,-1
Oxyram,8,0.24,0.66,no,-1,NA,no,-1
Ozypra,4.15,0.44,0.34,no,-1,0.22,no,-1
Paccle,5.75,0.27,0.26,yes,1,0.24,yes,1
Pacdeg,3.85,0.27,0.38,yes,1,0.28,yes,1
Paclis,4.75,0.51,0.35,yes,1,0.24,yes,1
Paragr1,5,0.12,0.3,yes,1,0.18,no,-1
Paragr2,7,0.38,0.54,yes,1,0.2,no,-1
Parala,4.9,0.33,0.85,yes,1,NA,no,-1
Parame,6.5,0.35,0.26,yes,1,0.26,no,-1
Parhor,5.5,0.31,0.47,yes,1,0.27,no,-1
Parlug,6.4,0.49,0.42,yes,1,0.28,no,-1
Parpal,8.75,0.17,0.33,yes,1,0.12,no,-1
Parpra,6.35,0.2,0.26,yes,1,0.21,no,-1
Parpro,7.5,NA,NA,yes,1,NA,no,-1
Parpul,5,0.26,0.36,yes,1,0.25,no,-1
Parsph,5.5,NA,NA,yes,1,NA,no,-1
Phrcor,3,NA,NA,no,-1,NA,no,-1
Phrfes,2.8,0.29,0.43,no,-1,0.25,no,-1
Pirpir,6.75,0.22,0.21,yes,1,0.2,no,-1
Pirhyg,5.35,0.39,0.28,yes,1,0.26,no,-1
Pirins,3,NA,NA,yes,1,NA,no,-1
Pirknor,6.05,0.5,0.21,yes,1,NA,no,-1
Pirlat,4.5,0.24,0.3,yes,1,0.23,no,-1
Pismir,13.5,0.29,0.44,yes,1,0.26,yes,1
Platin,3.25,NA,NA,no,-1,NA,no,-1
Pocjun,1.95,0.26,0.29,no,-1,0.2,yes,1
Pormic,2.3,0.24,0.29,yes,1,0.28,yes,1
Privag,2.5,0.19,0.21,yes,1,0.21,yes,1
Robliv,3.5,0.51,0.33,no,-1,0.26,no,-1
Robneg,2.25,0.37,0.32,yes,1,0.29,no,-1
Rugins,2.5,0.15,0.17,no,-1,NA,no,-1
Sibaur,3.8,0.25,0.62,no,-1,0.24,no,-1
Sinham,7.3,0.28,0.43,yes,1,0.19,yes,1
Sinnit,5.75,NA,NA,no,-1,NA,yes,1
Synhil,2.67,0.34,0.49,yes,1,NA,no,-1
Synven,3.4,0.5,0.32,yes,1,NA,no,-1
Talexp,3.75,0.37,0.23,yes,1,0.23,yes,1
Tenfla,2.15,0.59,0.38,yes,1,0.24,yes,1
Tenmen,2.05,0.45,0.36,yes,1,0.27,yes,1
Tenten,3.15,0.31,0.31,yes,1,0.27,yes,1
Tetext,8.6,0.3,0.3,yes,1,0.1,yes,1
Tetmon,10,0.35,0.43,yes,1,0.34,yes,1
Tetobt,6.1,0.31,0.47,yes,1,0.27,yes,1
Thafor,9.45,0.25,0.75,yes,1,0.24,yes,1
Thegem,2.15,0.12,0.08,no,-1,NA,yes,1
Trorur,11,0.22,0.32,no,-1,0.23,no,-1
Trospi,10.5,0.33,0.28,no,-1,0.22,no,-1
Walant,2.35,0.35,0.44,yes,1,0.26,yes,1
Xysace,8,0.14,0.53,yes,1,0.24,no,-1
Xyscris,6.35,0.24,0.42,yes,1,0.27,no,-1
Xyskoc,8.4,0.2,0.42,yes,1,0.26,no,-1
Xysulm,6.65,0.28,0.28,yes,1,0.15,no,-1
Zorspi,6.35,0.43,0.39,yes,1,0.25,no,-1
